id,manhole_id,before_path,after_path,location,timestamp,operation_time_minutes,gas_data,district,division,area,gas_data_raw,device_id,waste_collected_kg,blockage_level,gas_status,date,time
1,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 16:09:40.525037+00:00,22,"{""CO"": 3.81, ""CH4"": 38.53, ""H2S"": 1.31}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.81, ""CH4"": 38.53, ""H2S"": 1.31}",sb_006,10,high,toxic,29-07-2025,09:40.5
2,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 15:46:40.525037+00:00,19,"{""CO"": 4.6, ""CH4"": 84.28, ""H2S"": 19.67}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 4.6, ""CH4"": 84.28, ""H2S"": 19.67}",sb_010,8,low,safe,29-07-2025,46:40.5
3,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 15:19:40.525037+00:00,24,"{""CO"": 2.14, ""CH4"": 93.09, ""H2S"": 5.19}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.14, ""CH4"": 93.09, ""H2S"": 5.19}",sb_008,5,low,safe,29-07-2025,19:40.5
4,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 14:52:40.525037+00:00,30,"{""CO"": 1.52, ""CH4"": 3.7, ""H2S"": 8.71}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 1.52, ""CH4"": 3.7, ""H2S"": 8.71}",sb_001,6,high,toxic,29-07-2025,52:40.5
5,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 14:31:40.525037+00:00,19,"{""CO"": 4.35, ""CH4"": 82.07, ""H2S"": 8.25}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 4.35, ""CH4"": 82.07, ""H2S"": 8.25}",sb_001,9,low,safe,29-07-2025,31:40.5
6,MH-0001,/images/before.png,/images/after.png,"{""latitude"": ""17.475066"", ""longitude"": ""78.491433""}",2025-07-29 14:16:40.525037+00:00,17,"{""CO"": 2.72, ""CH4"": 75.68, ""H2S"": 16.3}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.72, ""CH4"": 75.68, ""H2S"": 16.3}",sb_005,6,low,safe,29-07-2025,16:40.5
7,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 16:01:40.525037+00:00,30,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",sb_002,10,high,toxic,29-07-2025,01:40.5
8,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 15:32:40.525037+00:00,15,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.0, ""CH4"": 6.02, ""H2S"": 0.95}",sb_008,4,low,safe,29-07-2025,32:40.5
9,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 15:06:40.525037+00:00,18,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",sb_010,3,medium,alert,29-07-2025,06:40.5
10,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 14:49:40.525037+00:00,15,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.54, ""CH4"": 7.71, ""H2S"": 8.66}",sb_003,2,low,safe,29-07-2025,49:40.5
11,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 14:26:40.525037+00:00,29,"{""CO"": 4.73, ""CH4"": 19.66, ""H2S"": 11.56}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 4.73, ""CH4"": 19.66, ""H2S"": 11.56}",sb_003,7,high,toxic,29-07-2025,26:40.5
12,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 13:59:40.525037+00:00,20,"{""CO"": 1.3, ""CH4"": 1.53, ""H2S"": 1.75}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 1.3, ""CH4"": 1.53, ""H2S"": 1.75}",sb_005,6,medium,alert,29-07-2025,59:40.5
13,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 13:40:40.525037+00:00,22,"{""CO"": 1.3, ""CH4"": 1.53, ""H2S"": 1.75}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 1.3, ""CH4"": 1.53, ""H2S"": 1.75}",sb_008,4,low,safe,29-07-2025,40:40.5
14,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 13:11:40.525037+00:00,18,"{""CO"": 3.25, ""CH4"": 94.48, ""H2S"": 4.37}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.25, ""CH4"": 94.48, ""H2S"": 4.37}",sb_004,6,high,toxic,29-07-2025,11:40.5
15,MH-0002,/images/before.png,/images/after.png,"{""latitude"": ""17.4734"", ""longitude"": ""78.496299""}",2025-07-29 12:49:40.525037+00:00,26,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",sb_009,10,high,toxic,29-07-2025,49:40.5
16,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 16:12:40.525037+00:00,29,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",sb_003,5,low,safe,12-07-2025,12:40.5
18,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 15:22:40.525037+00:00,24,"{""CO"": 2.86, ""CH4"": 75.69, ""H2S"": 9.24}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.86, ""CH4"": 75.69, ""H2S"": 9.24}",sb_003,5,high,toxic,12-07-2025,22:40.5
20,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 14:26:40.525037+00:00,23,"{""CO"": 3.42, ""CH4"": 99.02, ""H2S"": 17.2}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.42, ""CH4"": 99.02, ""H2S"": 17.2}",sb_010,8,low,safe,12-07-2025,26:40.5
17,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 15:50:40.525037+00:00,28,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 0.01, ""CH4"": 83.47, ""H2S"": 7.86}",sb_008,9,medium,alert,12-07-2025,50:40.5
19,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 14:54:40.525037+00:00,27,"{""CO"": 1.06, ""CH4"": 9.08, ""H2S"": 2.9}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 1.06, ""CH4"": 9.08, ""H2S"": 2.9}",sb_007,5,low,safe,12-07-2025,54:40.5
21,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 14:07:40.525037+00:00,28,"{""CO"": 2.86, ""CH4"": 75.69, ""H2S"": 9.24}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.86, ""CH4"": 75.69, ""H2S"": 9.24}",sb_003,7,high,toxic,12-07-2025,07:40.5
22,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 13:39:40.525037+00:00,18,"{""CO"": 3.25, ""CH4"": 94.48, ""H2S"": 4.37}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.25, ""CH4"": 94.48, ""H2S"": 4.37}",sb_002,3,low,safe,12-07-2025,39:40.5
23,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 13:17:40.525037+00:00,24,"{""CO"": 3.42, ""CH4"": 99.02, ""H2S"": 17.2}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 3.42, ""CH4"": 99.02, ""H2S"": 17.2}",sb_004,6,low,safe,12-07-2025,17:40.5
24,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 12:55:40.525037+00:00,19,"{""CO"": 2.29, ""CH4"": 89.41, ""H2S"": 14.6}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.29, ""CH4"": 89.41, ""H2S"": 14.6}",sb_006,6,medium,alert,12-07-2025,55:40.5
25,MH-0003,/images/before.png,/images/after.png,"{""latitude"": ""17.472804"", ""longitude"": ""78.492663""}",2025-07-12 12:28:40.525037+00:00,23,"{""CO"": 2.75, ""CH4"": 6.4, ""H2S"": 3.08}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.75, ""CH4"": 6.4, ""H2S"": 3.08}",sb_009,8,medium,alert,12-07-2025,28:40.5
26,MH-0004,/images/before.png,/images/after.png,"{""latitude"": ""17.478014"", ""longitude"": ""78.496241""}",2025-07-03 16:08:40.525037+00:00,19,"{""CO"": 2.85, ""CH4"": 97.11, ""H2S"": 7.3}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.85, ""CH4"": 97.11, ""H2S"": 7.3}",sb_004,9,high,toxic,03-07-2025,08:40.5
27,MH-0004,/images/before.png,/images/after.png,"{""latitude"": ""17.478014"", ""longitude"": ""78.496241""}",2025-07-03 15:44:40.525037+00:00,21,"{""CO"": 2.29, ""CH4"": 89.41, ""H2S"": 14.6}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.29, ""CH4"": 89.41, ""H2S"": 14.6}",sb_010,9,medium,alert,03-07-2025,44:40.5
28,MH-0004,/images/before.png,/images/after.png,"{""latitude"": ""17.478014"", ""longitude"": ""78.496241""}",2025-07-03 15:18:40.525037+00:00,26,"{""CO"": 2.0, ""CH4"": 23.9, ""H2S"": 4.7}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 2.0, ""CH4"": 23.9, ""H2S"": 4.7}",sb_006,10,medium,alert,03-07-2025,18:40.5
29,MH-0004,/images/before.png,/images/after.png,"{""latitude"": ""17.478014"", ""longitude"": ""78.496241""}",2025-07-03 15:00:40.525037+00:00,19,"{""CO"": 1.16, ""CH4"": 18.76, ""H2S"": 13.94}",Hyderabad,Division 9 (Kukatpally),Hasmathpet,"{""CO"": 1.16, ""CH4"": 18.76, ""H2S"": 13.94}",sb_001,8,medium,alert,03-07-2025,00:40.5
